Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
4217;KIEŁBASA STAROWIEJSKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;27,8;37,99;5;0,839
1307;EKLER TRUSKAWKA;PIECZYWO/CUKIERNICZE;szt.;3,39;4,99;5;-2
4220;KASZANKA POPULARNA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;21,2;26,99;5;1,04
4224;KIEŁBASA ZWYCZAJNA DŁUGA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;22,8;30,99;5;1,446
4227;FARSZ KLOPSOWY;MIĘSO I WĘDLINY;kg;18,52;24,99;5;-0,038
4230;BOCZEK WĘDZONY CZERNIEJEWO;MIĘSO I WĘDLINY;kg;25,5;34,99;5;0,679
4232;WĄTROBIANKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;20,7;27,99;5;0,58
4234;BOCZEK WĘDZONY PIECZONY CZERNIEJEWO;MIĘSO I WĘDLINY;kg;24,8;33,99;5;4,97
4235;SZYNKA DŁUGODOJRZEWAJĄCA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;34,4;46,99;5;1,311
4216;KIEŁBASA SZLACHECKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;33;42,99;5;-0,716
4219;PARÓWKA FOLIA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;24,7;31,99;5;-0,198
27395;OPAKOWANIE;REKLAMÓWKI OPODATKOWANE;szt.;0,3;0,8;5;-334
4209;GOLONKA WIEPRZOWA  Z PRZYPRAWAMI CZERNIEJEWO;MIĘSO I WĘDLINY;kg;25,8;32,99;5;0,35
4210;KIEŁBASA ŻYWIECKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;32,3;43,99;5;0,289
4212;ROLADA WIEPRZOWA Z POLĘDWICZICZEK;MIĘSO I WĘDLINY;kg;30,2;41,99;5;1,908
4213;KARKÓWKA PIECZONA Z PAPRYKĄ CZERNIEJEWO;MIĘSO I WĘDLINY;kg;30,9;41,99;5;2,322
4214;USZY WIEPSZOWE;MIĘSO I WĘDLINY;kg;7,84;11,5;5;-0,066
4196;OGONÓWKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;24,2;32,99;5;3,225
4175;KIEŁBASA WIEJSKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;29,7;39,99;5;1,241
4176;BOCZEK PO CYGAŃSKU CZERNIEJEWO;MIĘSO I WĘDLINY;kg;27,4;36,99;5;3,894
4177;KIEŁBASA CZERNIEJEWSKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;24,3;32,99;5;1,326
4179;SZYNKA WĘDZONA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;33,2;45,99;5;6,334
4185;KIEŁBASA DOMOWA PIECZONA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;25,7;34,99;5;2,508
4186;KIEŁBASA JAŁOWCOWA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;30,2;42,5;5;1,565
4187; KIEŁBASA ZIELONOGÓRSKA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;28,8;37,5;5;-0,757
4189;PIWOSZKI ROGOWO;ROGOWO;kg;14,95;19,99;5;-0,32
4190;BOCZEK ROLOWANY CZERNIEJEWO;MIĘSO I WĘDLINY;kg;28,4;38,99;5;1,749
4207;KIEŁBASA SLOWIAŃSKA BIEGUN;MIĘSO I WĘDLINY;kg;38,4;47,99;5;-0,24
4197;SZYNKA Z PIECA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;33,2;44,99;5;2,77
3917;KLOPSY LUZ;MIĘSO I WĘDLINY;kg;31,55;39,99;5;0,049
3918;KIEŁBASA RĘCZNIE WYRABIANA BIEGUN;MIĘSO I WĘDLINY;kg;41,25;53,99;5;0,656
1750;CUKIERKI KOFFINI EWA;CUKIERKI/WAFLE/CIASTKA;kg;23,14;36,5;5;0,02
3995;OZORY WOŁOWE;MIĘSO I WĘDLINY;kg;24,7;32,5;5;-0,004
3996;GOLONKO W ROSOLE ŁUKOSZ;MIĘSO I WĘDLINY;kg;15;17,5;5;0,002
27150;VOBRO CUKIERKI PRALINY MIX;czekolady;kg;27,99;39,99;8;-0,853
4023;SUCHA TRADYCYJNIE WĘDZONA SW;MIĘSO I WĘDLINY;kg;27,9;36,6;5;-0,23
174;WĘDZONKA KROTOSZYŃSKA CZERNIEJEWO;CZERNIEJEWO;kg;29,6;39,99;5;2,727
4429;KIEŁBASA CYGAŃSKA NIK-POL;MIĘSO I WĘDLINY;kg;17,49;23,35;5;1,163
1829;GALARETKA W CUKRZE KG;CUKIERKI/WAFLE/CIASTKA;kg;15;26,99;23;0,145
167;SURÓWKA Z BURACZKÓW HUBERTUS300G;WARZYWA I OWOCE;szt.;2,1;3,5;5;-1
181;GRUSZKA LUZ HISZPANIA;WARZYWA I OWOCE;kg;7,14;9,99;5;5,137
4492;KIEŁBASA ZWYCZAJNA MIŁOSŁAW;MIĘSO I WĘDLINY;kg;22,99;31,99;5;1,462
178;KIEŁBASA BACÓWKA SMOL;MIĘSO I WĘDLINY;kg;38,47;48,99;5;0,084
188;SERCA W POLEWIE TORIMEX;CUKIERKI/WAFLE/CIASTKA;kg;11,69;5,99;5;1,005
4460;SZYNKA JAŁOWCOWA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;30,9;42,99;5;0,953
4465;KIEŁBASA PIWNA;MIĘSO I WĘDLINY;kg;18,18;24,99;5;0,102
4468;SZYNKA CZERNIEJEWSKA;MIĘSO I WĘDLINY;kg;34,9;46,99;5;0,906
4317;SZYNKA ZRAZOWA SW;MIĘSO I WĘDLINY;kg;14,9;19,99;5;-0,21
156;JAJA ŚWIEŻE PROMOCJA;NABIAŁ;szt.;0,78;1,15;5;-77
1797;JAJKA WIELKANOCNE BARON;CUKIERKI/WAFLE/CIASTKA;kg;24,5;36,99;8;0,008
80;KIEŁBASA PROMOCJA;MIĘSO I WĘDLINY;kg;10,5;13,5;5;-1,828
158;RZODKIEWKA;WARZYWA I OWOCE;szt.;1,71;2,4;5;11
159;ZIEMNIAK SIATKA;WARZYWA I OWOCE;szt.;6,48;8,99;5;-18
163;SURÓWKA Z KAP. PEKIŃSKIEJ Z KUKURYDZĄ HUBERTUS 300G;WARZYWA I OWOCE;szt.;3,5;4,99;5;-1
224;KIEŁBASA POLSKA BIEGUN;MORAWSCY;kg;34,04;43,99;5;0,789
4654;JBB KURCZAK W GALARECIE;MIĘSO I WĘDLINY;kg;12,49;17,99;5;2,254
227;PIECZARKA KRAJOWA OPAKOWANIE;WARZYWA I OWOCE;kg;4,76;6,99;5;-3,335
4617;METKA TATARSKA;MIĘSO I WĘDLINY;kg;35,48;46,99;5;0,395
2044;PIERNIKI IGA;CUKIERKI/WAFLE/CIASTKA;kg;10,75;12,5;5;0,16
